msg,Id
"09:03 pm April 10, 2017                    There are dozens of threads here in the forum on what worked for others.  In addition to what you have planned, I would advise spending a set amount of time every day reading this forum. As for additional resources, I don't know where you are located, but you should explore seeing what libraries you can access, especially online libraries.   You can probably find e-books, especially those authored by Schwaber and Sutherland.   There is a popular book, and one I advise, by Ali that I have heard is available as a free PDF, but I can't 100% say that is valid.  You should do some searching.   I don't have any insight into the link you provided, hopefully others can comment if it is good or not.  Be careful about using sources that are not strongly reccomended here in this forum.  For example, there is a book called something like ""The Scrum Book of Knowledge"" or something like that.  It is quite terrible and will cost you points on the exam. Mostly, read this forum and come up with a strategy.  Read the posts about how people passed, and other posts about specific uses of Scrum.  I see several posts just today that look like they came right off the exam. For what it is worth, here is the advice I posted in a thread a few days ago.  I achieved 78/80 on my first attempt. I came here to make a similar post, but perhaps by adding to the thread it will serve as a better resource for others. I also recently passed PSM-I.   Obviously there is some great advice in these forums, so I will try and not repeat those. In addition to the standards of reading the Scrum Guide and taking the Open Assessments for Scrum Master and Product Owner, I used the following resources - - Read the book ""Software"" in 30 Days- Read the book ""Scrum"" by Sutherland- Read the book ""Scrum Narrative and PSM Exam Guide"" by Mohammed Musthafa Soukath Ali (and read his associated pocket guide)- Subscribed for one week to BostonAgileTrainings Mock tests, which I believe was $10. I did not use their training material. - Used the practice tests at mlapshin.comThere are other resources out there, and you really need to be careful about what you use.  For example, I had a copy of the Scrum Master Training Manual from Mplaza that listed 6 Artifacts.  A different version I had showed the correct listing of Artifacts.   So, whatever your resources, make sure they are current and up to date. Advice on the forum is pretty solid all the way around.   Take the open assessments until you get 100% all the time. These not only give you a feel for the format of the test, but I probably had at least 10 or 15 questions that were straight from these open assessments, so those are pretty much free points. I really found the best resource to be the book by Ali.  He actually tries to guide te reader into an active learning process, which is what you need to do.  Essentially, for every sentence in the Scrum Guide, you need to ask yourself ""what does this mean in an applied setting, how would I actually use this?""  If you can begin to internalize that concept while reading it will take you a long ways.  Conversely, while taking a test, you invert this idea and ask ""what concept in the Scrum Guide does this question speak to?""   The test is very much asking you to apply Scrum principles. I advise reading the Scrum Guide and Ali's book before reading the ""Scrum"" and ""Software in 30 Days"" books.  I found the utility of the latter two books to be in the application and execution of Scrum, which is much easier to understand when you have the knowledge of the construction of Scrum.  Not to mention that they are fun reads and show actual successful transformations to Scrum, which gives an added real world view. I also advise picking two or three sample exams and doing them until you pass with 90% or better.  However, hold one set of sample exam in reserve.   So, if you pick 3 exam sources, practice 2 of the 3 regularly.  Then, right before taking the real exam is when you want to take the final set of practice exam.  The reason is that the more you practice anything, the more you will start to learn those questions, those answers and that style of question.  So, you might be scoring very high but that could be just because you are starting to learn the right answer.  Holding one test in reserve will force you to apply knowledge in an unfamiliar setting, which is what you want before the real exam.I also advise as you engage our learning process, start to build yourself a ""1 pager"" based intially on the Scrum Guide.  Sure, you can find plenty of one page slides online, but there is a part of learning that comes from your own captue and recreation of information.  After you make this one pager, keep it next to you as you read other materials and use it as a reference, making notes and updating the one pager through the process. As humans, we tend to prefer our learning to be specific, and fact based as opposed to concept based.  This will throw you during the real exam if you aren't careful.   You will see questions, and question patterns that look familiar but if you don't read every word, it will trip you up. For example, you might see a question that asks about Done for a Product Backlog Item, which might be different than Done for a Sprint Backlog item.   If you are disposed to thinking about DoD for Sprints and Sprint Backlog Items, you really need to think about this for a minute before answering. You need to read every word of a question and don't make the mistake of thinking that you recognize the question based on some key words and thus know the answer. Also for example, you might see a question about treatment of Non Functional Requirements and you think ""oh man, I read three books and not one of them mentioned NFRs, what do I do?"" Again, the answer is to apply the principles of Scrum.  I would argue that NFRs, Functional Requirements, or Whackadoo Blue Moon Chupacabra Requirements should all be treated the same way if they are delivering value to the customer. Finally, right before testing, re-read the Scrum Guide.  As many others have said, every word and every sentence is chosen carefully.  I did this and there were at least 3 questions on the exam that used language straight out of the Scrum Guide that I was able to recall because I had read it 10 minutes before. Well, that is a bit more than my 2 cents. I tried to give you some food for thought, but without revealing any testing specifics.   I hope this helps and is a unique perspective.          Log in or register to post comments",8214
Log in to reply,8214
Messages,5554
"05:37 am September 5, 2013                             We have endless discussions how to handle if the team is finishing the sprint to early. I  know that basically should be the sprint planned as a challenge. But we have from time to time situation when the team is finishing the sprint earlier as expected. My question is how should we handle the situation? Our Scrum Master tends ""to replan"" when we have the possibility to attach the new stories for the rest of the time to the current sprint. But we are running into the danger to ""destroy"" successfully completed sprint if we are not finishing the new stories. The next option could be end of the sprint and starting the new one. But the Scrum Master means that this is problem for the velocity measurement, what could be correct. What do you mean?",5554
"06:09 am September 5, 2013                    Be warned. Until now we failed to implement scrum so my opinions are purely theoretical. :-)  The problem with the velocity is, that your ""real"" velocity is higher than the number of points you had in the sprint, because you could have achived more. So if you plan the next sprint based on that number you will have not enough points in it and probably finish it to early, too. So I think your Scrum Master is correct.  The problem of ""refill"" or adding items to the running sprint is (albeit other problems) a psychological one. It destroys the feeling for ""achiving the goal"" and could lead to a kind of ""Sisyphos"" syndrome and surely demotivates the team to try to finish work to early next time.  I think it would be best (don't know if it is ""good"" scrum) to finish the sprint early and start the next and take into account that the velocity is actually a little bit higher, than the numbers tell you. Perhaps you could add some percentaged number based on the percentage of time you spent, but I think a rule of thumb will do either.           Log in or register to post comments",5554
"07:00 am September 5, 2013                    > Our Scrum Master tends ""to replan"" when we have the possibility to attach the new stories  > for the rest of the time to the current sprint.  That's good, and I hope he or she involves the rest of the Scrum Team. Continual replanning is good in Scrum. However, changing a Sprint Goal is not.  > But we are running into the danger to ""destroy"" successfully completed sprint if we are not  > finishing the new stories.  Nonsense. The Sprint Goal has been achieved. The problem seems to be one of underestimation and the reasons behind this should be explored in your next retrospective.  > I think it would be best (don't know if it is ""good"" scrum) to finish the sprint early and start the next   No, the Sprint must complete it's timebox. Replan and consider bringing work forward with the approval of the product owner, or paying back some technical debt or doing backlog grooming.          Log in or register to post comments",5554
"07:28 pm September 5, 2013                    I'd pull in more stories. The backlog should be groomed enough that the team is already familiar enough with the functionality to begin (and learn more as they delve into it).  The answer also depends on if you're deploying every sprint. If so, I could see potential danger in adding more, not completing them and not having a ""ready for prod"" product at the end of the sprint. If that's the case, I could see an argument for ending the sprint early. Even then, if you can have those incomplete stories still in a deployable state, I think its better to keep the sprints at the same rhythm.          Log in or register to post comments",5554
"08:43 am September 9, 2013                    Why only deploy at the end of the sprint? Why only deploy once a sprint or less? Why not a few times a sprint?           Log in or register to post comments",5554
"09:26 am September 9, 2013                    Everything has to be tested before it can go live. We can't push individual stories in our deployment setup, so we can't deploy until everything started is Done.          Log in or register to post comments",5554
"06:42 am September 10, 2013                    We fixed this with our branching model and can start in the sprint with next release features, and are still able to release the old version or make bugfixes in it to work immediatly on the feedback we get          Log in or register to post comments",5554
"08:19 am September 19, 2013                    The SM is correct to try to add.  However, keep in mind the following:  1. your committment for the sprint has been satisfied. whatever you add is ""bonus"".  2. unless you are delivering to actual production each sprint (not a good system, because it puts gratuituous pressure on the commitment), it doesn't really matter if you finish your addition (all that matters is that there is no idle time).  3. you should be easily capable of adding something realistic (eg: look at your story point burndown for the sprint and compare that against the remaining time to see which story to add).  If you do that, then the PO will be able to safely adjust the team's velocity.          Log in or register to post comments",5554
"08:39 am September 19, 2013                    Hello,  no, no no. SM is not correct an should read the scrum guide. Its not the task of the SM to add, but to help the team to learn and do good work.  In this case it is the team who have to decide what to do. The work is done. They can make a party, play silly games, may doing some further education, may doing some refactorings or ask the PO if there is something useful to do. They may pull, but nobody outside the team may push          Log in or register to post comments",5554
"02:56 pm September 19, 2013                    It is completely up to the Dev Team to decide how much work to take on in a sprint, and this includes the ownership of deciding when to take on more scope in a sprint.  If they do choose to take on more work, then the Dev Team decides ""how much"", and the PO decides ""which PBI"".  Ideally, it should be a PBI that can be finished by the end of the Sprint, because we want to make sure we are delivering a PRI(potentially releasable increment.)  However, there are other ways to achieve a PRI even with a PBI that carries over.  In general, if the ""finish"" is a day or two before sprint end, I tend to coach teams to spend the time either:  a) adding a small PBI  b) learning about test automation (as most Scrum teams have a deficiency in this area), or  c) investigating the upcoming PBI's -- but not starting work on them yet, or  d) working on some other sort of ""improvement"" activity, but never ""refactoring"".^1    If the finish is farther in advance than a day or two, then I coach that they should probably take on more work.  In all cases, I coach to inspect and adapt and be sure to discuss in the retro.    Some teams I've coached have decided to have a PBI or two already tasked out and ready to go ""on deck"" in case this happens.  A couple of rules on that though -- 1.  No one starts the on deck work without the normal discussion between Dev Team and PO -- and PO still has the right to select a different story to be brought in.  2. I coach the team and org what a sustainable pace means and that outside (outside the Dev Team) pressure to take on more than desired is a violation of Scrum.  ^1 I don't really believe in ""refactoring"" except when it involves the current PBI you are implementing, as part of TDD, with already existing automated tests.           Log in or register to post comments",5554
"12:20 pm October 3, 2013                    This is very interesting discussion! I agree with that underestimation should be discusses in the retrospective! But adding the new story is only allowed, when the story has the something to do with the Sprint goal and the Team is committed. Otherwise the Sprint cancellation.          Log in or register to post comments",5554
"07:35 am November 25, 2013                    The Scrum Guide is crystal clear : ""If the work turns out to be different than the Dev Team expected, they collaborate with the PO to negociate the scope of Sprint Backlog within the Sprint"".  For me, ""different"" means they overcommit or they undercommit. As soon as the Dev Team see they deviate from the goal, they should be transparent and negociate with the PO.          Log in or register to post comments",5554
"07:51 am November 26, 2013                     Posted By Olivier Ledru on 25 Nov 2013 07:35 AM  The Scrum Guide is crystal clear : ""If the work turns out to be different than the Dev Team expected, they collaborate with the PO to negociate the scope of Sprint Backlog within the Sprint"".    For me, ""different"" means they overcommit or they undercommit. As soon as the Dev Team see they deviate from the goal, they should be transparent and negociate with the PO.  Olivier, this has been a problematic point during my studies for PSM. I tough the Sprint Backlog may change in accordance with the PO, but only if the Dev Team may have overcommited the work to be done. Reading the other posts here, i understood that if the Dev Team has already finished all of his tasks for the Sprint, more work can be done, but it is a ""bonus"" and even if the Team fails to deliver this bonus, the Sprint Goal would be achieved. Am i correct?           Log in or register to post comments",5554
"08:53 am November 26, 2013                    > if the Dev Team has already finished all of his tasks for the Sprint, more  > work can be done, but it is a ""bonus"" and even if the Team fails to deliver  > this bonus, the Sprint Goal would be achieved. Am i correct?   Yes you are correct, assuming that any undone ""bonus"" work does not compromise the delivery of the increment.          Log in or register to post comments",5554
"10:14 am November 26, 2013                     Posted By Ian Mitchell on 26 Nov 2013 08:53 AM  > if the Dev Team has already finished all of his tasks for the Sprint, more    > work can be done, but it is a ""bonus"" and even if the Team fails to deliver    > this bonus, the Sprint Goal would be achieved. Am i correct?     Yes you are correct, assuming that any undone ""bonus"" work does not compromise the delivery of the increment.  Perfect Ian, thanks a lot!          Log in or register to post comments",5554
"09:06 pm February 14, 2014                    We just started on the tasks for the next Sprint (got a head start).  While in release planning we had many Sprints roughly planned out, we always had 2 or 3 Sprints planned in detail, though they could, of course, change until those later Sprints started (and sometimes did as we were agile about responding to the market, customers, etc., etc.).          Log in or register to post comments",5554
"04:55 pm February 21, 2017                    I'd like to weigh in on this and pretty much agree with Charles and his comments:  "" In general, if the ""finish"" is a day or two before sprint end, I tend to coach teams to spend the time either:      a) adding a small PBI      b) learning about test automation (as most Scrum teams have a deficiency in this area), or      c) investigating the upcoming PBI's -- but not starting work on them yet, or      d) working on some other sort of ""improvement"" activity, but never ""refactoring"".""I think also that the team makes a sprint commitment,  it's therefore a new commitment if they chose to bring in work and that commitment is to get stuff Done (done, done.)  It's not a great mindset to tell a team that they're getting bonus points, what they're doing is making a new commitment.  So it's good to be careful about that when you bring in new work - can you commit to getting it done?  If not, can you split the story to a smaller unit and get that done?  I know it sounds a bit hard, but self-organizing means self-disciplined. If the sprint boundaries begin to be degraded (oh i'll just start that new thing sooner) and blurry, then not only metrics get messy, but team mindset gets messy too.  There is always innovation, celebration, automation, dotting i's crossing t's, learning and tasking/preparation that can be served in the 36 hours leading to the end of the sprint.  best,k          Log in or register to post comments",5554
"06:53 pm April 10, 2017                    I am not sure if this thread is still alive but I did have a question that expanded on this topic. If the team has decided to work with the PO to add a user story to their sprint is this work still considered 'committed' or if it ends up not being completed is it alright for the team to say, ""It is okay, that was just adopted work.""?          Log in or register to post comments",5554
"08:38 pm April 10, 2017                    Should user stories on a Sprint Backlog ever be committed to at all, given that the backlog represents a plan and forecast of work for meeting the Sprint Goal? Wouldn't the Sprint Goal itself make a better commitment?          Log in or register to post comments",5554
Log in to reply,5554
Messages,8229
"01:55 pm April 10, 2017                             HiI wanted to know if it is feasible to implement scrum in a traditional waterfall project and what the challenges would be? If there are dependencies on work items due to the overall project, can scrum still work? ",8229
"06:13 pm April 10, 2017                    How would tested and integrated increments of genuine release quality be delivered each Sprint? How would a team inspect and adapt an emergent product and a collaborative way of working? Where would the transparency come from, and how would value and progress be evidenced?          Log in or register to post comments",8229
Log in to reply,8229
Messages,8220
"09:59 am April 10, 2017                             I want prepar The Certificied Scrum Master and wanted consultand webs where practice the Exam. I´m Spanish and would like take the Exam in English and on line from the Scrum. org Thanks!!! ",8220
Log in to reply,8220
Messages,8215
"10:14 pm April 8, 2017                             Help.. I am new to SCRUM.We have been doing scrum for a short amount of time. We have been struggling as the due to changing needs/issues in our corporate environment our stake holder were complaining that we always said we would deal with it in 4 to 9 weeks.   Also we had issues where we waited for another team before we could complete an item.We were kinda stuck until our scrum master left.  A former team lead suggested we (our team and Product owner) think about asking the other team if it was okay to tackle the task we were dependent on to minimize dependencies. He also suggested given the reaction of stakeholders when we say wait 4 to 6 weeks before we can tackle your issue,that we consider shortening the sprint durations to 2 weeks to allow more contact with stake holders.When I asked questions online.  I got from other Scrum Masters that Scrum does not deal with technical issues.  It is up to the team.  That we need a Scrum of Scrum or SAFE to solve our issues. Been really fustrated.  Scrum Master keeps saying SCRUM is agile.  But I feel that Scrum is a process (tool) to allow us to develop software in a more adaptable manner. But starting to feel like all it is a set of rituals that people who have letters after there name use to say we are Agile..  Help!!! ",8215
"08:05 am April 10, 2017                    Hello Yoshiichi,When I first wanted to learn about Scrum, I made a start by reading the ""Agile Manifesto"" & ""Scrum Guide"". If many teams are involved, one might also want to refer to the ""Nexus Guide"". Taking the Open Assessments helped me get a better idea of what Scrum is and what it is not. Consider looking up the ""Subway Map to Agile Practices"" as well for other practices not described in the Framework. I have refrained from listing down URL's, a quick web search for the keywords in double quotes should suffice.Other than the above, look at ways to have a discussion with Management to help reduce and remove some of the systemic impediments which cannot be addressed by the team.--Bhuvan.          Log in or register to post comments",8215
"09:04 am April 10, 2017                    Hi Yoshiichi. If Scrum had one purpose and one purpose only, what would that be? Moreover, I don't really understand what you wrote ""I got from other Scrum Masters that Scrum does not deal with technical issues."" What is the contect behind this quote?          Log in or register to post comments",8215
Log in to reply,8215
Messages,8198
"12:18 pm April 6, 2017                             I was going through a lot of articles and blogs but still i am unable to understand that if we really need test cases in scrum? Acceptance criteria is treated as test cases but those are not actually test cases in my opinion. What is the best practice we can follow or can we use test cases along with acceptance criteria in order make QA process more efficient.  ",8198
"01:22 pm April 6, 2017                    How about using test driven development, with automated regression testing, as a means to improve efficiency?          Log in or register to post comments",8198
"06:47 am April 7, 2017                    Thats more relevant to writing good code. In some scenarios the testers are not technical enough. So the testers will have to write descriptive statements like test cases or acceptance test. What will we do in that case?          Log in or register to post comments",8198
"12:56 pm April 7, 2017                    I worked on a program a few years ago that began to transition away from writing manual test cases by traditional QA testers and to writing automated UI tests in code instead.  It was a gradual process and they're still fully transitioning to that approach.  And you're right, the traditional QA tester was not technical enough to write coded UI tests.  So the QA test team was retrained to learn basic coding skills.  The developers setup the framework for the automated UI tests and supported the testers to use that framework.  If you setup a good framework that uses the page object design, then you'll find that writing the UI tests in code is actually very similar to writing it in English.          Log in or register to post comments",8198
"06:17 am April 8, 2017                    Testing should demonstrate that the increment meets requirements and is fit for release. The process of testing should not be aligned to skill silos such as ""writing good code"" or to sub-roles such as ""testers"". Rather, there may be a range of testing techniques which might be brought to bear, such as unit testing and BDD testing. Development Team members would be jointly accountable for implementing these tests, including any regression testing of work invested in prior increments.          Log in or register to post comments",8198
"08:58 am April 10, 2017                    Quality is multi-dimensional and may not be limited to any particular type of test cases. Scrum does not have any preference or bias towards any particular technique or practice. Team can decide what is useful and works for them and revisit it during Sprint Retrospective to improve (product) Quality. Accountability lies is with with the whole Development Team and not just the member with specialist testing skills.          Log in or register to post comments",8198
Log in to reply,8198
Messages,8212
"11:33 am April 8, 2017                             Lately I read the Scrum Guide over and over again. When I learn new things from another resources, I easily get confused. Here another one.* Product Backlog belongs to PO and ordering is done PO.* PBI estimats solely belong to DT.Assume that PO has the order of works A, B, C, D, E. (Most important to less). Each has same estimates. However, DT wants to select D and E for the first sprint. In mountaingoatsoftware.com it says The team then determines which items they can complete during the coming sprint. The team then moves items from the product backlog to the sprint backlog. Scrum Guide says The ""number"" of items selected from the Product Backlog for the Sprint is solely up to the Development Team. Only the Development Team can assess what it can accomplish over the upcoming Sprint.Both have same meanings? If so, does it mean that PBI items are selected by DT for the Sprint Backlog?Does it mean that ordering the product backlog items is actually nothing? Because PO's decision is not cared. On the other hand, If PO selects the first items to do, can we say that PO forces DT to do works according to Product Backlog order.Also I read many posts in the forum. Usually they say that items are selected by DT. Shouldn't it be ""number of items"" instead of items? ",8212
"07:00 pm April 9, 2017                    Atacan, during the Sprint Planning event, the development team works to project the functionality they feel they can and should accomplish.  But, how do they determine that?  The entire Scrum Team is at the Sprint Planning meeting.  What role do the Product Owner and Scrum Master play in the meeting if the Development Team is supposedly doing all the work?If the Product Backlog isn't aligned very closely with the work the developers are selecting, It sounds to me like perhaps the Sprint Goal isn't clearly defined or agreed upon by the team.I did also want to call out something as a sidebar.  You mentioned, ""can we say the PO forces DT to do the work according to Product Backlog order.""  Remember that neither the PO or the SM roles are managerial roles.  Demanding a self-directing team do specific work rather than supporting the team with the artifacts and events is pulling away from agile principles.          Log in or register to post comments",8212
"09:56 pm April 9, 2017                    The PO and Development Team should agree which items from the Product Backlog will be planned into the Sprint. However, the amount of work the Development Team take on is entirely up to them. Whatever is agreed must therefore be subject to that constraint.          Log in or register to post comments",8212
Log in to reply,8212
Messages,7814
"07:58 pm March 7, 2017                             Hello all.  I recently decided to sit for the PSM II exam with no prior scrum certifications, and was able to pass.  I’ve seen a few posts here about how to prepare for the gap between the two tests, but not a lot of people who might want to jump straight into an advanced certification without tackling the topics progressively.  It’s certainly not an easy route, but it’s a possible one.  I’d like to share my experience with all of you, and I’m happy to answer any questions.--------------------------------------------------------------------To start my routine off, I took the Scrum Open test.  Then I took the Developer Open test the next day, once I had forgotten the Scrum Open questions.  I did this without reading the Scrum Guide.  As expected, I bombed both of them horribly.  I think I scored around the 30% mark.  However I was able to get a feel for the kinds of questions asked, and an understanding of Scrum methods I’ve seen within my organization as well as vocabulary that were brand new to me.  Now I had a baseline for my knowledge, and I sat down and read through the Scrum Guide, twice.  At the end I tested with the Scrum Open again, getting a score of around a 70%.I then proceeded to take a 2-day Agile training seminar.  This offered through my work and was NOT a Scrum seminar, though it covered many Scrum practices.  Some of the information was dated or related to other methodologies, so terms like “Sprint 0” and “Hardening Sprint” were thrown around.  This turned out to be a blessing in disguise because as I continued to take the Scrum Open exams, I was forced to identify the differences between “Scrum” and “Agile.""  Once the seminar was over, I took the Scrum Open two more times, getting 95%+ each time.  This was the point I moved over to the Nexus Open and Nexus Guide.  I don’t have much to say on this one; it took me about a day to get to 95%+ mastery.  Nexus was a relatively easy concept after mastering the core Scrum Master topics.Finally, I looked up as much information as I could find on the PSM II.  In 2016 the PSM II exam was drastically changed, and most of the information I found was related to what has since become the PSM III.  Luckily a few blog writers have updated their articles to keep their information relevant to the correct exam.  This helped me understand what I was getting into a little better, and how the PSM II would differ from the Scrum Open.After all that, I took the PSM II, and...failed.For all the practice and preparation, the PSM II is difficult!  However, failure is not something that should be feared; it should encourage inspection and adaptation.  Since Scrum.org provided me the sections I was weak in, I had a general idea of what to look for.   Armed with these new questions and categories, I spent several hours doing research and filling in the knowledge gaps I identified.A few hours later, I retook the exam.  I did this within 24 hours of the first attempt.  This gave me time to quickly power through the questions I was confident on during the last attempt, and focus more time onto those I was less certain about or the new questions from the pool that weren’t on my previous attempt.This time I passed.  Would I recommend you follow in my footsteps and ignore the lower certifications?  No, not really.  Take the PSM I.  Take the SPS.  Then look towards the PSM II afterward.  Work your way up rather than throwing yourself right into the thick of things.  The PSM II builds off the other certifications so by taking them in order, you can build up your knowledge with checkpoints.  Additionally, it means you can walk away from a failed upper-level exam with existing certifications in hand.Best of luck with your next certification!--------------------------------------------------------------------So to recap my process:Scrum Open blindReview the Scrum GuideScrum Open to 70%Formal trainingScrum Open to 100%Nexus Open blindRead the Nexus GuideNexus Open to 100%PSM II – FailScrum Open, Nexus Open, ResearchPSM II – Pass  ",7814
"06:06 am March 8, 2017                    Great share          Log in or register to post comments",7814
"08:06 am April 9, 2017                    Thanks Jason for sharing this, it will be helpful.Would you suggest any books or content to required to appear for PSM IIThanks,          Log in or register to post comments",7814
"08:53 pm April 9, 2017                    Megha,For me the 2-day agile seminar was pivotal.  You could replace this with book learning and research, but since I didn't go that route I can't offer specific recommendations for readings.  In either case, I would still recommend some form of reading and practice outside of the Scrum Guide.  While the PSD I and PSPO I (and presumably, the PSM I) all focus around the Scrum Guide as it is written, the PSM II uses the Scrum Guide as a framework, and then asks more questions about how to handle problems, and fewer questions about definitions.I found that reading up on common Scrum methods like Activity Boards, how to write effective User Stories, and things like how to keep your Daily Scrum under 15 minutes (instead of just that you should) gave me a strong edge.  You'll have to dig around the forums and blogs, or even off-site for some of that information.  Learning how to enhance or maintain the Scrum framework will help you.And of course, I'd like to reiterate that the Nexus Guide is covered fairly substantially.  While you don't need to have an SPS level of mastery, it certainly wouldn't hurt.           Log in or register to post comments",7814
Log in to reply,7814
Messages,8213
"01:05 pm April 8, 2017                             Hi want to know if scrum allows the PO & SM to be part of development team? ",8213
"07:09 pm April 9, 2017                    Vaquas,There's nothing specifically prohibiting it, but there may be some problems with attempting to do it that way.  Clear separation of duties is very important, as is delegation of tasks.I'll give you a hypothetical that I've seen in other threads.  Let's say that you have a Scrum Master/Developer.  A problem pops up and they have to make a choice.  Do they act as a Scrum Master and facilitate the problem, at the same time failing to complete their sprint deliverables?  Or do they focus on the value-driven work, and let the problem fester?  Or, do they work 60 hour weeks to try to do it all?If it were you, how would you best handle that situation?          Log in or register to post comments",8213
Log in to reply,8213
Messages,8205
"08:26 am April 7, 2017                             Hi, I am currently studying for PSM I, and have a specific question re changing the Sprint BacklogSo, the basic premise is that a number of Product Backlog Items are selected for the Sprint Backlog, and that during the Sprint, at that level, they cannot Change (however, if the Development Team completes all items early, they can discuss with the Product Owner and address an Additional item - or at least that is my understanding)When the Development team breaks down the PBIs into Tasks, the Tasks themselves can change, and only the Development team can do this. This may sound pedantic, but there are conflicting messages in some online material re the term ""item"", and in fact one sample question states that Items can change in the Sprint Backlog ! For the PSM I exam, I understand the Sprint work is specifically called 'work', not 'items'.So my question is this - if a question comes up in the PSM I exam that mentions Items changing, I think the answer would be that this is not possible. However if it mentions Tasks or Work in the Sprint Backlog, then they can change.Hope this is clear !Thanks ",8205
"06:02 am April 8, 2017                    The Sprint Backlog is a forecast and a plan of the work needed to meet the Sprint Goal. The Goal should not change during the Sprint.Why then would a team refuse to replan any part of the Sprint Backlog if doing so allowed the Goal to be better met?          Log in or register to post comments",8205
"11:57 am April 9, 2017                    Hi LarryThis is quite interesting question. I comment it as I had issues with it during my studies.First thing what you already mentioned is to distinguish items from work/plan.  * Items - Product Owner order Product Backlog so most important/valuable items are on the top. Development Team decides how many items they can pull to the Sprint Backlog for the Sprint. * Work/plan can be changed by Development Team at any time during the sprint. They are owner of the Sprint Backlog so they decide how they do the work. Most important is that it must meet the definition of Done.Now some typical answers questions which you can find out. 1) In the middle of the Sprint, Development Team recognize that they have too many items and they won't manage to complete them by the end of the Sprint. In this case they should meet with Product Owner to discus which Items are most important and which of them are less important. This is quite clear for me, there is risk that they won't finish all items and from business point of view they decide which items are most important.2) They finished all items and they still have time left in the Sprint. In this case they pull items from Product Backlog to Sprint Backlog. I believe that Product Owner can check Product Backlog and reorder it so Development Team can pull item which can be done during the left time.3) Development team recognize that some work from the Sprint Backlog is not needed anymore or that they won't do it. They can just remove it as they are owner of the Sprint Backlog. Most important is that it meets the definition of Done. During my PSM exam there was question in which in my opinion all answers where wrong. The best answer in my opinion was: to work with Product Owner asap to remove some work or Product Backlog items. So looks like sometimes you need to select the Best answer.          Log in or register to post comments",8205
Log in to reply,8205
Messages,7291
